Name,Date,Days,Status
元旦,2020/1/1,1,1
春节,2020/1/24,7,1
春节,2020/1/19,1,2
春节,2020/2/1,1,2
清明节,2020/4/4,3,1
劳动节,2020/5/1,5,1
劳动节,2020/4/26,1,2
劳动节,2020/5/9,1,2
端午节,2020/6/25,3,1
端午节,2020/6/28,1,2
中秋节,2020/9/27,1,2
国庆节,2020/10/1,8,1
国庆节,2020/10/10,1,2
